E_eV,epsilon1,epsilon2,n,k,R,alpha_x_1e_minus3_cm_minus1
1.5,13.488,0.038,3.673,0.005,0.327,0.78
1.6,13.793,0.057,3.714,0.008,0.331,1.25
1.7,14.079,0.078,3.752,0.010,0.335,1.80
1.8,14.413,0.099,3.796,0.013,0.340,2.38
1.9,14.797,0.126,3.847,0.016,0.345,3.15
2.0,15.254,0.172,3.906,0.022,0.351,4.47
2.1,15.754,0.236,3.969,0.030,0.357,6.32
2.2,16.334,0.260,4.042,0.032,0.364,7.17
2.3,16.994,0.396,4.123,0.048,0.372,11.19
2.4,17.761,0.508,4.215,0.060,0.380,14.65
2.5,18.661,0.630,4.320,0.073,0.390,18.48
2.6,19.724,0.803,4.442,0.090,0.400,23.81
2.7,20.987,1.193,4.583,0.130,0.412,35.63
2.8,22.565,1.548,4.753,0.163,0.426,46.22
2.9,24.574,2.017,4.961,0.203,0.442,59.75
3.0,27.197,2.807,5.222,0.269,0.461,81.73
3.1,30.874,4.321,5.570,0.387,0.486,121.62
3.2,36.355,7.636,6.062,0.630,0.518,204.28
3.3,43.264,17.717,6.709,1.320,0.561,441.68
3.4,35.224,35.282,6.522,2.705,0.592,932.13
3.5,22.394,33.818,5.610,3.014,0.575,1069.19
3.6,19.124,31.632,5.296,2.987,0.564,1089.90
3.7,17.231,31.527,5.156,3.058,0.563,1146.67
3.8,15.531,32.229,5.065,3.182,0.568,1225.46
3.9,13.965,33.567,5.016,3.346,0.577,1322.69
4.0,12.240,35.939,5.010,3.586,0.591,1454.11
4.1,9.364,39.947,5.020,3.979,0.614,1653.60
4.2,2.371,45.348,4.888,4.639,0.652,1974.84
4.3,-12.404,44.095,4.087,5.395,0.703,2351.38
4.4,-18.818,33.350,3.120,5.344,0.726,2383.23
4.5,-19.815,24.919,2.452,5.082,0.740,2317.99
4.6,-17.931,18.601,1.988,4.678,0.742,2181.15
4.7,-15.190,15.094,1.764,4.278,0.728,2038.07
4.8,-13.087,13.193,1.658,3.979,0.710,1936.06
4.9,-11.507,11.974,1.597,3.749,0.693,1862.11
5.0,-10.242,11.195,1.570,3.565,0.675,1806.67
5.1,-9.291,10.776,1.571,3.429,0.658,1772.70
5.2,-8.724,10.655,1.589,3.354,0.646,1767.66
5.3,-8.751,10.586,1.579,3.353,0.647,1801.26
5.4,-9.168,9.907,1.471,3.366,0.663,1842.63
5.5,-9.106,8.846,1.340,3.302,0.673,1840.59
5.6,-8.726,7.999,1.247,3.206,0.675,1820.07
5.7,-8.325,7.400,1.186,3.120,0.673,1802.31
5.8,-7.987,6.898,1.133,3.045,0.672,1789.99
5.9,-7.721,6.460,1.083,2.982,0.673,1783.51
6.0,-7.443,5.877,1.010,2.909,0.677,1769.27
