x, y
91610192117781610000, 41.99612
84491882866284560000, 42.83563
77926681576124430000, 43.98114
71871610567337394000, 45.15728
66287031618264690000, 46.36488
61136386482448744000, 47.29172
56385957567927960000, 48.55639
52004647212260740000, 49.85489
47963774108360516000, 51.52694
44236885548479560000, 52.55698
40799584257239970000, 54.31966
37629368680111270000, 55.77227
34705485681817270000, 58.02435
32008794690393985000, 59.9704
29521642397546918000, 62.392
27227747195060420000, 64.48454
25112092590747010000, 66.64725
23160828906206953000, 69.33846
21361182612883743000, 72.13835
19701372712903262000, 73.58041
18417152424578527000, 76.55158
16986100011528712000, 78.59872
15666243453390901000, 80.70061
14645050261532631000, 83.95929
13507098311478022000, 86.77516
12457567679036400000, 89.68546
11489587837373966000, 93.30696
10596822114390702000, 95.80217
9773426211057646000, 99.67066
9014009942968719000, 103.01346
8313601954656399000, 106.46838
7667617175681050000, 110.76756
7071826805452212000, 113.72971
6522330630293943000, 118.32211
6015531491533790000, 122.29045
5548111737476258000, 126.39189
5117011505108653000, 130.63088
4719408689365167000, 134.12421
4352700468822281000, 139.54014
4014486266887438300, 145.17476
3702552036940048400, 149.05702
3414855768550863400, 154.05617
3149514119899463700, 160.27695
2904790088881420300, 164.56307
2679081642197265400, 168.96381
2470911227985601500, 175.78656
2278916103347239200, 180.48744
2101839413441536800, 186.54072
1938521963756176400, 191.52918
1787894631689296100, 196.65105
1648971367768037400, 203.24643
1520842740687485400, 207.30936
1402669983913989600, 214.2622
1293679504880225800, 219.99199
1193157820827632400, 222.9141
1100446888144795800, 230.3903
1014939794626303100, 236.55139
936076786452362100, 242.87724
863341603880653800, 247.7324
796258101662857600, 252.68461
734387132062019600, 261.15927
677323670066258000, 266.37989
624694161979518200, 271.70487
576154080032546000, 277.1363
531385667005854140, 282.6763
490095856100343550, 290.23562
452014352438456960, 294.09076
416891863636825340, 303.95411
384498467867231100, 307.99147
354622108722750140, 312.08245
327067207036035200, 316.22777
301653380562310200, 324.68432
278214263145753000, 328.99703
256596415639193250, 335.57374
236658321447696450, 337.79506
218269460120574370, 346.82837
201309452927292100, 351.43521
185667274823967170, 356.10325
171240527651769540, 363.22181
157934769809369540, 368.0464
145662898011287400, 372.93508
134344577084937570, 375.40372
123905714073683730, 380.39012
114277973203212910, 385.44275
105398328536068210, 390.5625
97208651385887970, 393.14782
89655329790447200, 398.36991
82688917552463420, 403.66137
76263810550687730, 403.66137
70337948202321290, 411.73063
64872538122445260, 411.73063
59831802178005900, 419.9612
55182742273952150, 422.74112
50894924338294690, 428.3563
46940279091991300, 428.3563
43292918299441250, 436.91922
39928965296711960, 436.91922
36826398688087330, 442.72272
33964908187732310, 442.72272
31325761662767716, 448.6033
28891682507387484, 454.562
26646736545269664, 454.562
24576227719913972, 457.57096
22666601890064790, 457.57096
20905358100437036, 463.64877
19280966746897730, 463.64877
17782794100389228, 469.80731
16401032695506226, 469.80731
15126637128030208, 469.80731
13951264841133804, 469.80731
12867221512624594, 476.04765
11867410685717714, 476.04765
10945287313605908, 479.19884
10094814913716558, 479.19884
9310426051175196, 482.37089
8586985892789200, 485.56393
7919758592965085, 485.56393
7304376291512799, 492.01357
6736810520387220, 492.01357
6213345832187456, 492.01357
5730555477778564, 492.01357
5285278973814412, 495.27044
4874601413312457, 498.54887
4495834383841208, 498.54887
4146498368405829.5, 498.54887
3824306513822746.5, 498.54887
3527149660326519.5, 498.54887
3253082534408512, 498.54887
3000311014501734.5, 498.54887
2767180386149404, 501.849
2552164509772204, 501.849
2353855830123354, 501.849
2170956162030582.2, 501.849
2002268192105702.8, 501.849
1846687640789755.8, 501.849
1703196033424078.8, 501.849
1570854033024732, 501.849
1448795291114715, 501.849
1336220776359762.8, 501.849
1232393543881357.8, 501.849
1136633911005382.8, 501.849
1048315007865516.6, 501.849
