x, y
107575277132322.62, 1598.68079
118575720347307.33, 1553.18279
130701047960936.88, 1553.18279
144066288512115.66, 1553.18279
158798233139334.16, 1553.18279
175036638401729.5, 1553.18279
192935552098335.84, 1553.18279
212664774663096.25, 1553.18279
234411469999341.78, 1553.18279
258381941035145.06, 1553.18279
284803586843580.5, 1553.18279
313927059894390.6, 1553.18279
346028643902093.7, 1508.97966
381412874828320.75, 1508.97966
420415429902867.2, 1508.97966
463406312070532.9, 1508.97966
510793360073456.25, 1508.97966
563026117467773.4, 1508.97966
620600097278573.2, 1508.97966
684061482750341.5, 1508.97966
754012308787228.8, 1508.97966
831116173237519.4, 1508.97966
916104532203202.9, 1508.97966
1009783639095906, 1487.35211
1113042193267522.8, 1487.35211
1226859770775226.8, 1487.35211
1352316117260495.2, 1487.35211
1490601391100267.8, 1487.35211
1643027454003229.8, 1487.35211
1811040316161053.5, 1445.0225
1996233854017074.5, 1445.0225
2200364930787936.2, 1445.0225
2425370063180968, 1445.0225
2673383792418468.5, 1445.0225
2946758933847895.5, 1445.0225
3248088897238739, 1445.0225
3580232289510416.5, 1445.0225
3946340033288459, 1445.0225
4349885258552535.5, 1445.0225
4794696250947615, 1445.0225
5284992769326758, 1445.0225
5825426077056652, 1424.31161
6421123066848514, 1403.89757
7077734897710058, 1403.89757
7801490605419794, 1403.89757
8599256195106268, 1403.89757
9478599776522384, 1403.89757
10447863359928644, 1383.77612
11516241993687064, 1363.94305
12693870994314584, 1363.94305
13991922096516600, 1363.94305
15422709435338838, 1344.39425
16999806365853394, 1344.39425
18738174228603868, 1344.39425
20654304282358684, 1325.12563
22766374150638990, 1306.13318
25094420266171150, 1306.13318
27660527949179012, 1306.13318
30489040922723710, 1306.13318
33606792252680480, 1268.961
37043358903200296, 1268.961
40831342322529224, 1232.84674
45006677720996780, 1232.84674
49608974975187950, 1232.84674
54681894392322140, 1215.17688
60273560899586380, 1215.17688
66437020587682350, 1197.76028
73230743939643060, 1180.5933
80719180518878990, 1163.67237
88973370378560340, 1146.99395
98071617992565220, 1146.99395
108100235101325920, 1114.35084
119154359519669890, 1082.63673
131338857674405900, 1082.63673
144769319433673380, 1067.11977
159573154665657800, 1051.82521
175890801929316200, 1036.74985
193877060763505150, 1007.24425
213702560213471970, 1007.24425
235555377526073660, 978.57837
259642822369674140, 964.55283
286193403504988960, 937.10193
315458996563953000, 923.67086
347717233501507140, 884.52164
383274136388217100, 884.52164
422467020529475460, 871.84418
465667694452178300, 847.03174
513285987115956900, 822.92547
565773635810281500, 799.50524
623628571620587800, 788.04628
687399643117953500, 765.61871
757691823084340200, 743.82942
835171947667660000, 733.16844
920575042411861200, 712.30268
1014711295174914400, 692.03075
1118473742084022500, 662.69946
1232846739442063400, 653.20127
1358915301955081500, 634.61135
1497875395869055500, 616.5505
1651045284663415300, 599.00365
1819878034933421600, 581.95618
2005975301100425200, 573.61525
2211102519720296000, 557.29033
2437205657533031000, 533.66992
2686429672135858000, 518.48183
2961138860409947000, 503.72599
3263939287738214400, 489.39009
3597703510792496000, 475.46219
3965597828425935400, 455.31002
4371112319189491700, 442.35203
4818093950428222000, 423.60322
5310783073050264000, 411.54759
5853853648181813000, 399.83506
6452457587323389000, 388.45587
7112273626645633000, 377.40053
7839561199078395000, 366.65982
8641219815256364000, 351.11917
9524854516647790000, 331.41806
10498848021795754000, 321.986
11572440250096015000, 308.33883
12755815977526372000, 299.56359
14060201455882834000, 291.0381
15497970912115990000, 278.70263
17082763938087120000, 270.77083
18829614884376120000, 259.29438
20755095485656150000, 251.91494
22877472070665613000, 241.23768
25216878848174530000, 231.01297
27795508912843170000, 221.22163
30637824782977810000, 214.92573
33770790467474317000, 202.86636
37224127263489660000, 197.09284
41030595711492820000, 188.73918
45226306382505490000, 180.73959
49851062445855370000, 173.07905
54948737267252314000, 163.36768
60567690619331600000, 156.44344
