Energy (eV),EpsilonReal,EpsilonImaginary
1.5,15.1904,0.495775
1.6,15.5375,0.560028
1.7,15.9294,0.634047
1.8,16.3731,0.72034
1.9,16.8774,0.822292
2,17.4532,0.944577
2.1,18.115,1.09385
2.2,18.8818,1.27986
2.3,19.779,1.51757
2.4,20.8421,1.83093
2.5,22.1208,2.26069
2.6,23.6872,2.88141
2.7,25.6438,3.84192
2.8,28.1145,5.4713
2.9,31.0851,8.56294
3,33.2503,14.7954
3.1,28.7223,22.913
3.2,20.6834,20.8283
3.3,22.292,15.7284
3.4,28.1394,15.837
3.5,34.2211,21.3823
3.6,37.3874,31.4483
3.7,37.7629,46.6708
3.8,21.6778,67.9945
3.9,-9.41312,66.851
4,-25.1011,48.8475
4.1,-28.5328,31.3044
4.2,-23.5629,19.0861
4.3,-17.3171,13.5765
4.4,-12.337,11.4982
4.5,-8.61736,11.9823
4.6,-8.61485,13.7346
4.7,-10.4188,11.8783
4.8,-9.28605,8.5352
4.9,-6.51729,6.98327
5,-3.98427,7.18844
5.1,-2.59632,8.65972
5.2,-3.54021,9.42611
5.3,-3.34147,7.93339
5.4,-1.40606,7.22713
5.5,1.07619,8.25373
5.6,2.54623,10.9277
5.7,2.95399,14.9127
5.8,-1.10462,19.9881
5.9,-8.39498,19.6818
6,-12.5445,14.3316
